Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;categoria;insegna;nro_apparecchi_tel_ricettiva;numero_servizi;numero_servizi_piano;piani_tot;piano_piano;posti_letto;posti_letto_piano;tipo_att_strut_extra;MUNICIPIO;LONGIT;LATIT;Location
C-AL/8;Via SOPERGA N. 19 (z.d. 2) soperga 19;ATTIVITA RICETTIVE - Strutt. albergh.;;;;11;0;1;hotel vintage;;;0;;;22;0;Albergo;;;;
C-AL/9;Via CUSTODI PIETRO N. 2 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via CUSTODI PIETRO;2;5199;31;;1;hotel la vignetta;;;;;;56;;Albergo;5;9.1818547891;45.4517310401;45.4517310401, 9.1818547891
C-AL/10;Via ARCHIMEDE N. 79 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via ARCHIMEDE;79;3086;14;14;2;HOTEL CASTELLETTO;;;0;;;22;22;Albergo;4;9.21652206237;45.4655695442;45.4655695442, 9.21652206237
C-AL/12;Via ARCHIMEDE num.086/88|;ATTIVITA RICETTIVE - Strutt. albergh.;Via ARCHIMEDE;;3086;14;8|6;2;hotel delizia;;12;4|7;2;1|R;25;12|12;Albergo;;;;
C-AL/13;Via ARCHIMEDE N. 121 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via ARCHIMEDE;121;3086;7;1|3|3;1;pensione lanterna;;2;0|1|1;3;T|1|2;16;2|7|7;Albergo;4;9.22216581974;45.4656155232;45.4656155232, 9.22216581974
C-AL/15;Via AOSTA N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via AOSTA;2;7227;15;;1;hotel principe eugenio;;;;;;24;;Albergo;8;9.16648866023;45.4917439764;45.4917439764, 9.16648866023
C-AL/16;Via ARIMONDI GIUSEPPE N. 12 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via ARIMONDI GIUSEPPE;12;7179;71;12|11;4;hotel regency;;;12|11;;4|5|3|1|2;125;18;Albergo;8;9.15483468362;45.4897855393;45.4897855393, 9.15483468362
C-AL/18;Viale ARGONNE N. 14 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Viale ARGONNE;14;3254;19;6|8|2|4;3;albergo susa;;;5|4|2|2;4;2|3|T|1;37;9|8|8|5;Albergo;4;9.22680504055;45.4676448739;45.4676448739, 9.22680504055
C-AL/20;Piazza ASPROMONTE num.012/14| (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza ASPROMONTE;;2246;19;4|8|7;3;hotel aspromonte;;19;4|8|7;3;T|1|2;31;9|12|10;Albergo;;;;
C-AL/21;Piazza ASPROMONTE N. 18 (z.d. 3) aspromonte 18;ATTIVITA RICETTIVE - Strutt. albergh.;;;;10;;1;hotel tirreno;;;;;;16;;Albergo;;;;
